NFE,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30
1250,31679788231.258217,27712661538.35796,31788035613.28503,28821049037.2964,32203850553.57793,24621614883.38556,20925273832.15125,30512295370.91002,29449445217.19868,35578312236.74751,27298144313.32936,31235991122.3083,28001933249.23608,26996650436.45702,31823007380.47477,29713850217.08405,29147238149.982086,25874312806.487133,21639479637.68359,32468516311.495586,27475584613.276318,26763956546.05214,21858745966.13025,27138378145.11765,37629895291.82254,29117378456.29289,26937338953.41544,21051942361.98569,37952550989.70652,29168402258.419086
2275,28653612880.042168,23269206791.34269,24192803687.11993,23810135881.50993,26624716003.96398,23248227996.953583,20806233737.124832,29310982382.83967,28228951940.96264,28636555036.74565,23477508809.21326,25541340827.05727,24321217099.94876,26996650436.45702,21551369833.0912,29221859147.616287,27116276195.46896,16920979386.5111,21639479637.68359,28518814805.64868,15863948831.930832,26763956546.05214,21858745966.13025,23736138254.753582,23296183091.63735,23563043204.79776,23186769636.9165,21051942361.98569,21469264035.083992,26235925795.30234
4143,19222458160.57338,17628303593.94677,21698551323.33962,22522307735.06143,17762423420.98944,12960120276.77566,20049831003.495632,19659246518.33665,20793225199.732483,24128613454.09291,20815290413.8643,24045952145.55098,24221712499.4071,26375303337.32217,14472827639.03801,24239627211.5662,20784048306.334408,16920979386.5111,18647325897.89613,20334117359.39458,15863948831.930832,26763956546.05214,21858745966.13025,15258630090.787682,19319709655.17365,15111268465.74251,19427375180.48566,20416684356.18902,20845438686.43394,17676060944.77877
7542,14221374480.75959,11615910606.06608,14705050211.721432,13925540895.66704,10948132227.17185,9890155560.814644,15614884474.53683,8994639417.779976,14519954444.949041,15984749294.18638,9876806401.716784,11519516988.6129,12857761590.498709,14881666145.206419,12646721571.65176,12982826945.854841,15634577896.865091,13293093314.735891,10474454505.59083,12593643846.1345,14800305018.935041,15412277736.23297,15456263307.870981,11475783157.98851,14668041118.553831,10026704170.09525,15089091064.10729,11184129177.338379,11189626083.82201,15783669231.40322
13732,8910382125.658094,6062419111.099101,8151164697.314659,9422948821.439043,7771641322.94008,9890155560.814644,7473441891.591569,7473415398.279084,8975342884.644756,7895017573.083541,5681836857.5163965,8050256806.237239,9139148319.238632,8269582606.867658,7149109305.627842,9685852715.333838,6311800829.121785,7440329188.852049,8743795119.00418,7686459493.180143,7039650308.095328,5699383174.930559,7059932109.517537,8302699114.323587,8536192811.706147,7654481272.89718,7714163982.929374,8756998722.59263,8726875206.668823,8431748343.920284
25000,2944648570.383457,4992289969.8888855,3591921792.754043,4720548281.809603,3996653856.639319,3622757062.002304,4192521841.2137604,4379396479.92213,4241284946.1565537,4203583974.4503217,2804316825.743382,4093495032.6507344,3533270007.739379,4148423088.653602,3767773545.941417,4676552108.017376,3994358634.256092,3347412383.22529,4230918342.994336,3038539181.624611,4105902584.176594,3716878437.381087,4189127776.1863656,3079000510.418037,3112440942.330163,4329707535.375796,3733373534.0984225,4484568337.21534,3806846721.034111,3227408230.472936
45514,1293361368.80441,1488916112.161303,1137450032.939811,1199741012.758918,1315112883.023141,1216123446.6835759,1467540692.710893,1077907926.8802109,1166813048.265208,1020796946.498061,1142039196.215986,787461198.2380192,1082054281.0642061,1059916341.791718,1215918526.580901,1460577388.706099,1533553075.290199,1343806155.41672,1507923337.885276,975109485.5136672,1169517005.365609,1489842980.476388,1135866909.674026,746395374.0409718,1511623112.134696,1324719256.0909429,1318231572.214838,1208754327.010672,1520076838.928979,1215731921.810982
82861,56085438.19797745,59414302.17575956,67289337.94516757,78722800.69572261,59051816.46459911,78276285.24303263,45581335.88592426,53740758.73850384,54001646.91936786,44858326.6964161,51175479.06592475,78117149.09140012,47324974.36472946,47507475.84115373,66498662.915737405,69273889.82306951,63977827.09190201,72422921.9578071,76715108.47082417,51978616.99647336,57932309.15099681,86636590.21273664,52625881.73412067,48063019.51108976,62032814.96738423,44065070.00229707,58073283.08751895,62947507.58502379,76432938.9791785,46930790.37025175
150854,87123.28475848399,100663.8930981476,73195.36915401685,120755.5180659152,119373.2358198654,130627.1904921198,135083.671253062,157137.56535065698,142366.4528829634,134002.9405943822,121993.163095198,151047.6396984626,94782.42867064846,95715.79144215852,57388.30340243451,106545.9043817505,136734.0147812068,153956.3035121124,106733.18715606109,85972.77254759785,131422.7075856759,118229.7393275454,76010.03943756747,68809.3423474126,153112.5498346064,112526.1615258559,120826.46239273279,129292.9454688933,183836.0548735461,69165.32079412148
274640,7.643417974361852,8.560806762177748,3.062085545753561,4.494249560992756,3.4515669302182768,8.828215477400391,10.103229182498382,5.044206231422309,4.645420530005809,8.97288491181416,6.896753996906696,7.799175713294615,13.66219864468185,4.4605264206382165,14.250630600099411,5.568274365386728,10.04711399312819,5.9600419047540925,15.95567620421541,10.35461544479625,6.0155746278266795,3.3626104052756602,9.936816256105717,5.323927829114312,7.827330180858,15.508742164165199,2.5546646606873216,4.471774088315968,6.713705216442364,4.526000898133475
500000,2.338192928164062e-08,2.538124022066768e-08,2.52451570759149e-08,2.5863897690214802e-08,2.740726756655931e-08,6.466905233537545e-08,3.695480188525835e-08,3.9258694073396334e-08,2.727608716668328e-08,5.574197814439684e-08,4.264687447630422e-08,3.912175827736064e-08,5.643227041218778e-08,2.668045340215031e-08,8.069714851899334e-08,2.188160408422846e-08,5.1763677788585476e-08,8.592316191879945e-08,1.307493846525176e-07,4.316551382999023e-08,2.7294063897898007e-08,2.1195091903791763e-08,3.507790324874804e-08,1.670342442139372e-08,2.4566574552409293e-08,4.896027405720816e-08,1.409345884439972e-08,1.57814099566167e-08,3.2495833579559985e-08,1.8101445675711147e-08
910282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1657227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3017088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5492802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
