NFE,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30
888,16450311336.14154,11458474807.70882,18940834900.233692,19546338574.5732,15745658392.59345,22724745337.12032,14967978446.40741,18643235435.5411,15552998225.19345,15266870821.86236,21524346689.3182,17058498588.090782,15938676105.418291,16732560746.265068,12719909377.74497,14069839323.483341,15542403546.95,19900256719.38725,16390563234.320568,14297329460.99385,17492064442.53181,17148464360.65737,11696554825.88257,15167244532.62109,12491792763.27832,18702107972.35889,20561413074.99033,12390961019.40886,16142138241.76114,14722540858.974968
1527,14754645870.702509,11458474807.70882,15319845068.645582,13045225119.52886,12964321389.98554,15650347693.09583,9030952034.14252,16166157905.10571,14877635746.87801,13039243781.45378,13613995180.056091,12163582251.083109,12582866000.3,16020836765.594109,9379918586.599806,14069839323.483341,12804710985.20006,9477593453.37566,11842716923.409979,14297329460.99385,16211957908.568182,11476933721.81666,11696554825.88257,12614459696.87526,11172721185.25312,13484897273.428041,19053915652.01968,12390961019.40886,16142138241.76114,11012767459.608309
2625,8591893524.306152,6939366467.847028,11262869113.0973,9517024553.89314,12964321389.98554,12548077503.26751,9030952034.14252,12171932938.18634,11419344922.49914,11777932768.56969,11722449323.839571,9931030461.161543,6153935550.380617,13048541367.301859,9379918586.599806,13866191527.82118,9106377908.877028,9477593453.37566,10173859869.71389,7842031331.325301,7017780254.837208,9956530878.04754,9870708042.900314,9833665598.21961,9113149872.782862,7611601839.114194,11934246328.49111,12390961019.40886,12097899154.479471,8810869468.20822
4513,4722516538.334432,6548763514.0323105,6260357473.688284,8171051897.95078,7307491326.841285,5198215198.811283,7306043276.04515,5894640122.005029,8449046443.203206,7867453614.052845,9141486686.237309,8169837674.7777605,5180477046.24691,4822741582.137615,8581479432.944302,7800040591.586055,6367113880.64936,7773898105.244674,4878853536.833257,7842031331.325301,5686906791.812937,8787055654.593662,8286165970.036108,6345985366.663857,4404354919.026741,5773158293.192754,5392680502.52001,5080709096.36305,7672163285.994473,7362862657.770336
7757,3778486525.131017,3370344209.815085,2498650376.715615,5060637080.1276455,3739316650.7182846,4273742418.435155,4420721805.858333,3712057526.646499,5370325805.66527,4506754726.589041,4413717445.946497,3041625535.17415,4310055118.496979,4822741582.137615,3907605244.3895564,3641179293.652208,4146450410.66989,3674228396.892666,3777060840.2753296,3561734070.542095,3320724570.512372,2365662525.536354,4751865073.5865965,2434063935.636409,3267652716.673141,3120145634.425552,3426157984.0813174,4294271871.6002154,4227129431.020543,4976758243.698257
13333,1909801411.9658039,2168857890.923513,1744653214.55411,1773796447.5661788,2277543980.2538147,2669458168.664318,1332300972.601325,1870480071.686059,2603558868.45621,2183621493.415331,1461761343.6052392,1637859282.7316759,2071403750.793815,2106277045.745582,2424820036.889199,2084628827.5153878,1806932099.1240351,1629352040.05546,1679450580.755928,2269941368.535779,2361007076.864426,1432935377.896616,1722097781.823844,2218670322.603261,1490736985.499522,2176404793.0100327,1725232116.206186,1877511850.4826171,2029435276.887428,2785101732.642746
22916,625215423.5554532,649811901.7720814,596385282.3068392,515055959.5585488,747434878.9235184,703221411.8796523,658203632.5584301,655583342.0411433,945224858.0106161,888237194.9703742,739723138.5543412,625032697.0899601,642001711.3326682,709910391.3068353,715358901.7248473,881718503.0800301,660862819.0239472,734923157.7868197,846025562.272888,731158751.4265716,756705689.8220347,679800363.9579514,630763310.6040937,654135516.3000836,561046534.71273,727916788.7610083,516785322.6568409,643592511.9196334,687456704.1810483,437818949.0221226
39389,103656094.1800244,44186305.5514451,86997580.98728265,99568974.50668047,60501052.32167497,69142987.03904673,44646455.04250078,87104259.39584602,120945919.30209799,116769085.1045186,89656655.17639157,84441996.88164923,81510154.11499158,92911211.874218,84967287.28907083,89844160.86331342,67565229.33703679,96382024.23132062,70081444.40530118,83556007.74298027,128720434.8565843,83154512.82366908,106573905.7872638,82050188.49092174,76482580.63990308,103957266.635652,78450631.69432002,39501762.87249589,85733885.54549439,112002869.80094008
67700,524152.87060395326,446234.17726196494,1076390.294074882,1263240.283605872,1287316.98035632,950480.4815211165,1145750.61770144,843460.4446617998,1018685.269466939,1248520.637098341,1468545.373192746,737719.2164209026,1145899.572070788,718057.0296023027,851548.6876251411,1216885.098856916,825130.0587512638,926840.8561402677,981807.1883473869,1030607.345608524,1251976.386142883,452366.84955256147,1479414.3206235382,920346.1494279336,1241216.800093404,1039313.273448979,1043376.618361695,1163347.447265998,1136310.13658574,1383562.079898206
116362,847.1332784991165,1045.9098815909401,1541.148703488299,2448.639711008766,988.2262043273564,1338.112614041748,718.2256068655155,999.3889901424623,2018.3486261653838,650.9627761850808,1413.9692439792652,1664.203697810823,831.8368678903543,849.6725740469087,2086.463806467415,3709.6899687930922,1893.589770692828,1241.626783275771,609.9422054621398,1536.856632365767,1444.6936829402039,1732.1944290337092,1374.8492317124578,2330.6919544038988,976.7708821497372,986.2411458955723,1173.9238896561521,4209.406008487752,777.1646804159045,1221.0093623758698
200000,0.007288291930350965,0.004693514333098392,0.0037383770298475842,0.004279944486498265,0.003499011066537605,0.007965356581621563,0.003451300844346861,0.003472237800735911,0.005711391608116401,0.00474478400339251,0.004716079969313114,0.006413909473849344,0.003622087873353053,0.004351134607162521,0.006154948357433909,0.006246881939887317,0.005930828967166235,0.0036511726611223594,0.002128009802504494,0.006768706949671355,0.004267839033261112,0.004819461114593082,0.003104709780473058,0.003246104574785136,0.004683038166248821,0.0046505930940270454,0.002218716205476312,0.005696711195980697,0.0032692864435688307,0.006351236962558461
343754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
