NFE,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30
400,404.20319009994637,383.962861507172,391.7577211288121,415.23159730134836,360.98414139596565,368.691799773942,389.84069654474837,373.8802011225239,375.05707942767503,361.54005480574784,392.96242057396563,414.64797781446856,359.0274067136233,363.4489558718228,369.3642941290686,356.6750325006287,378.16906583010217,401.32816086030886,380.5294598126902,377.5827314412818,359.90056310362337,396.0253619893169,387.7925430217488,380.4924968008213,394.2196883946717,360.06238395882514,369.16759713671854,372.62015098961825,400.10297122588514,376.20808497496637
551,358.88429364604553,377.2782769914834,379.62678223366487,403.77955885519714,360.98414139596565,365.42632232747934,353.4175646220074,351.8138193610193,351.22578133642446,361.54005480574784,379.858125748045,384.7925911475486,358.7952795801384,362.7227213037841,369.3642941290686,356.6750325006287,362.5415475605564,360.0601454912403,380.5294598126902,373.0017880325531,358.05332406683095,365.2453918132064,367.82286060000615,380.4924968008213,373.9178433872848,356.2518391499943,353.11030474407966,365.5079248177103,376.5222915265077,364.92083363974683
761,358.88429364604553,377.2782769914834,368.9065322879334,367.75580618228105,360.98414139596565,365.42632232747934,353.4175646220074,351.8138193610193,351.22578133642446,352.8700405343161,379.858125748045,366.3137490891372,358.7952795801384,362.7227213037841,363.3573656008717,356.6750325006287,361.17146760875715,360.0601454912403,362.1814932172715,365.28173461068315,358.05332406683095,364.31531674689535,367.82286060000615,380.4924968008213,373.9178433872848,349.9127329568632,352.1024150048206,359.77719143010336,375.33743753338473,358.97057259971285
1050,358.88429364604553,358.3495582494693,363.22879844941735,352.9503716718509,360.98414139596565,362.78182943969256,353.4175646220074,351.8138193610193,351.22578133642446,350.75613865098234,361.08035065068185,351.52968439887314,356.3196778144293,362.7227213037841,363.3573656008717,356.6750325006287,351.91432129508667,360.0601454912403,357.5227583468045,352.3670522284829,357.5398223137545,356.3052383707959,359.041410335848,364.7161496225553,354.53348848469165,349.9127329568632,352.1024150048206,357.69997202041213,361.39984900303665,358.97057259971285
1449,352.8715665178474,357.29551232973466,355.7156415047488,352.9503716718509,356.3148558197918,355.92088263048566,353.4175646220074,351.0498397694478,351.1740037001282,350.75613865098234,349.62382932987884,351.52968439887314,353.9134256767356,358.7752319090464,351.9671907908913,347.1772710622517,351.91432129508667,352.309175538297,351.6592974262467,349.06107352275467,349.99580989059365,352.2508766517517,352.60738838346015,352.9459221783268,354.53348848469165,349.64635061379164,351.40153746484253,353.54784687798696,360.09421871804534,353.8428138183754
2000,348.4783667081279,349.5355823627074,351.7751443843808,350.1172948181143,353.3884448544613,349.65844030354583,353.2518378411387,351.0498397694478,350.2548730979815,349.2783340892383,349.62382932987884,351.52968439887314,348.81974393656634,349.60564350390365,351.9535579362146,347.1772710622517,351.1747062318123,351.48770924635846,351.5745008119552,349.06107352275467,349.99580989059365,350.8216177613212,351.07093961130613,350.34261149642634,349.7920246074027,348.903113740389,348.3791710326877,351.08286044211485,348.57877263779886,349.9949131066219
2759,348.4783667081279,348.64202329472573,344.5959315077134,348.8017365822229,349.64449459193014,347.5705949530748,349.5859022085783,348.5134538325356,348.41971963617516,348.57762031841685,348.507753186751,349.6113716446348,348.4415153889381,348.2099668047517,349.1368542258715,347.1772710622517,348.87797557296926,348.1588235921859,348.492588300242,348.121561828928,347.7755076569956,348.26366304062185,348.5243277821664,349.7692604762602,348.6388340578092,348.56980608325966,348.3791710326877,348.6104121501057,347.71425235190424,348.91296204084534
3807,347.7559728504857,317.9333553202282,344.5959315077134,347.61825461087716,347.6240018551075,347.5705949530748,347.54398769834467,347.7334875196048,347.4775766203683,347.47439165241303,347.6957009851682,347.56978298640433,347.633026328524,347.6114276601757,347.6470006819441,320.2095124075154,347.8147727305486,348.0163825236982,347.5635673364518,347.5805860286687,347.57286764517767,347.665384796871,347.5921937907915,348.4315399951843,347.822616339562,347.7164244492378,347.7453713189389,347.62346132030603,337.4984642518557,347.7120939785118
5253,347.4585330532755,308.0607314342028,314.8720723384977,347.4494568479558,347.4445444351036,347.4339564646243,347.4949083398201,347.4604274317435,347.44328347693414,347.4375503701258,347.5049313488471,347.44134988020915,347.4256659699904,347.4333305824302,347.45147602685614,305.3025636921448,347.4577262351577,347.45362520954626,347.4535481340017,347.4373654920901,347.4368264951398,347.4680406747675,347.45964146764067,347.48130718862603,347.4916166909878,347.4601670784523,347.43119919542914,347.4703094398724,311.62825437939733,347.4858718346936
7247,347.4003319247113,303.16532925768934,305.392937221899,347.4174361495707,347.39679673936416,347.3967132875482,347.4028107275317,347.39634016777467,347.39804252267504,347.3876706606447,347.38605862839404,347.38962084934786,347.3768775445715,347.37432144804734,347.3937195995792,305.1279990723087,347.3954207957177,347.3948678810029,347.3942658856417,347.38617198303285,347.4050257386757,347.37422972802324,347.3807684791896,347.40756705777807,347.38948821369917,347.3969630506435,347.38681899131967,347.39337403745003,307.81386189413297,347.40044129217904
10000,347.3778555913182,300.1135039175829,300.41113445183237,347.37897392499605,347.3745365461332,347.3751154531824,347.3776979450276,347.3750690919155,347.3731405383674,347.3810166214953,347.38605862839404,347.3702037349312,347.3720134665255,347.37229096313104,347.3720719035932,300.42268566119947,347.37524933205077,347.38600517452636,347.3825500014323,347.37106414356316,347.376817888563,347.37059969481203,347.3728496851136,347.37237320279434,347.37475201725647,347.3791504731817,347.36941073003067,347.36800760190636,300.29185664253464,347.37814188381066
13797,347.3689323990578,300.0042232829942,300.0059192813133,347.3678116556166,347.36693001645284,347.36743427384863,347.3671378318222,347.3674660315942,347.36842192234514,347.3671946216809,347.3707018499717,347.36778320366784,347.36694736186564,347.3669961425753,347.3669706876398,300.01191484640464,347.36760388608354,347.36901449792055,347.3690235460354,347.3679015580702,347.3674450645935,347.3669286344921,347.3670097107097,347.367458502938,347.3671174660067,347.3674823964016,347.36692011145897,347.36714352820223,300.0062441720106,347.3687770675465
19036,347.36691601273066,300.00000836269464,300.0000053891267,347.3669159411902,347.36691593521346,347.3669159969295,347.36691599658064,347.3669159440142,347.36691899251673,347.3669159388273,347.36691625043113,347.36691611959844,347.36691593565735,347.3669159355904,347.3669159360988,300.00001460493513,347.3669167725038,347.3669191004047,347.36691605580336,347.36691621083037,347.36691593734076,347.36691593524665,347.36691593745763,347.36691594032067,347.3669159388778,347.36691595059983,347.3669159352444,347.36691596380837,300.0000048569214,347.3669160257791
26265,347.366915935188,300.000000000191,300.0000000001437,347.3669159351884,347.366915935188,347.3669159351898,347.3669159351889,347.3669159351884,347.36691593518935,347.366915935188,347.36691593518935,347.3669159351889,347.3669159351898,347.3669159351884,347.3669159351884,300.0000000001455,347.3669159351884,347.3669159351898,347.36691593518935,347.3669159351889,347.36691593518935,347.3669159351889,347.3669159351884,347.3669159351898,347.3669159351889,347.3669159351884,347.36691593518935,347.3669159351889,300.0000000003497,347.3669159351884
36238,347.36691593518754,300.00000000000364,300.00000000000136,347.366915935188,347.366915935188,347.366915935188,347.366915935188,347.366915935188,347.3669159351884,347.36691593518754,347.366915935188,347.366915935188,347.3669159351884,347.3669159351884,347.366915935188,300.00000000000364,347.366915935188,347.366915935188,347.366915935188,347.366915935188,347.3669159351884,347.366915935188,347.366915935188,347.366915935188,347.366915935188,347.366915935188,347.36691593518754,347.366915935188,300.0000000000032,347.366915935188
50000,347.36691593518754,300.0000000000005,300.0000000000005,347.36691593518754,347.36691593518754,347.36691593518754,347.36691593518754,347.36691593518754,347.366915935188,347.36691593518754,347.366915935188,347.36691593518754,347.36691593518754,347.36691593518754,347.36691593518754,300.0000000000005,347.36691593518754,347.36691593518754,347.36691593518754,347.36691593518754,347.36691593518754,347.36691593518754,347.36691593518754,347.36691593518754,347.36691593518754,347.366915935188,347.36691593518754,347.36691593518754,300.0,347.36691593518754
