NFE,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30
1250,2007.658788171385,1829.36440573927,1876.324174143157,2071.6817170086138,1760.093446198234,1823.55235562052,1267.0736909149691,1759.02613916939,1611.225267781882,1359.908096022682,1868.04333374349,2014.9590439181338,2091.784637980831,2134.044751049754,2007.841784927028,1597.9264128696,1451.4151699643771,1581.730732011108,1898.326663465633,1796.705392226272,1839.340588893072,2215.853282510453,1748.965898381784,1960.747128282062,1829.282437830279,1846.257839760578,1297.379762387275,1765.217806049546,1929.789421665188,2094.073050314563
2275,1629.70887136963,1748.059079275688,1685.597761373715,1805.706291144281,1760.093446198234,1758.5930460430538,1267.0736909149691,1759.02613916939,1611.225267781882,1359.908096022682,1520.1920668382988,1536.075843186979,1831.223069486617,1502.685854829653,1746.2185957325562,1597.9264128696,1451.4151699643771,1471.1685764402869,1531.710942433894,1796.705392226272,1839.340588893072,1745.836659901243,1748.965898381784,1732.8738144246781,1829.282437830279,1598.444932811482,1297.379762387275,1765.217806049546,1929.789421665188,1752.299188897746
4143,1629.70887136963,1748.059079275688,1338.027083201594,1303.473333557202,1581.677528423248,1718.5238532517442,1267.0736909149691,1664.592285032186,1611.225267781882,1359.908096022682,1442.7858503962962,1359.872419319692,1604.664498316731,1333.155729699431,1746.2185957325562,1597.9264128696,1451.4151699643771,1405.923500647121,1488.220441997652,1535.230666587792,1738.767362943334,1615.922148390619,1664.3199326202812,1517.867540701048,1565.419875015308,1598.444932811482,1297.379762387275,1765.217806049546,1467.562874213488,1735.931386880376
7542,1272.69695704671,1552.410171134378,1316.36881744146,1040.63957003238,1269.234021686467,1150.098293408815,1267.0736909149691,1452.9742916121302,1293.298941148534,1359.908096022682,1172.082008603882,1359.872419319692,1572.42247277543,1333.155729699431,1373.084278867155,1343.171304804989,1451.4151699643771,1392.297654350682,1168.223241783166,1484.376889019115,1458.272972034398,1379.319843472169,1287.301410287334,1382.85012246495,1331.168345659526,1598.444932811482,1297.379762387275,1477.0097665611029,1467.562874213488,1402.780782839784
13732,1235.516461365461,1307.6714608715301,1172.492563952679,1040.63957003238,976.8160547910035,1047.650678531059,1195.12923758373,1153.709058746089,861.5693224982479,1159.921848723358,1172.082008603882,1076.929087486415,1094.145640164415,954.9086573256993,1269.463126486352,1073.900563133472,1234.8952637077361,691.7493371632013,1108.086699281075,1173.157572554688,1319.9799848677499,1062.792898867722,962.1484982971132,519.0431845799503,1070.43205881223,1137.243049994457,1137.474045759818,1267.156340818236,1140.299698418144,1207.594588825493
25000,763.1781975561075,799.6500067284552,1041.006265238678,693.6801321628036,848.3019657671158,634.2966053527058,865.4054880188451,882.6346206143753,861.5693224982479,814.8363318975839,896.1073043022107,1036.651126160496,861.3971658076697,954.9086573256993,755.7318416676285,862.9984724525052,863.0051439293278,691.7493371632013,856.6779286153046,729.1916802281894,866.357703816906,892.911862993652,609.8131940434491,519.0431845799503,756.2771865339528,858.9384369480786,706.2341048402814,652.9874136403223,931.3189749664276,813.2898913832814
45514,763.1781975561075,708.9003665251075,659.3280749205377,659.9928749423098,562.1339749644872,480.0930751567939,567.119521803204,523.9386823592295,408.55059072694513,626.6133728555477,771.3419019959082,619.2178111423477,559.6661833089902,717.4349216662578,547.9747459284796,654.0950254130312,584.0159127608537,567.9015904684234,558.8892447916414,639.9392403446536,685.8929622811784,616.0230907012847,609.8131940434491,519.0431845799503,606.7234354445009,340.1341501556628,579.741601474384,652.9874136403223,712.5524627787712,431.6334345374578
82861,402.0146874047985,509.8185645573008,394.3942750098927,372.18767352902483,430.9443044844384,313.6135578834396,504.1034514741355,403.75095339778085,380.8051853356117,433.0940422216172,437.7676195677573,350.416782710596,426.87387266473746,431.48930611867587,352.3281329870661,438.3840920769107,470.08864541025383,448.4438228443846,464.5942430587638,479.64900655658136,425.3675761489565,492.3795314187905,474.77482339451933,312.8560961646076,472.1406783573993,340.1341501556628,237.5873697970758,436.88308360844985,402.63886781173966,431.6334345374578
150854,213.3924222369349,219.1628997661976,246.34009196041734,180.66541011128447,248.6658409852105,214.5413640818372,269.0652049656087,183.2970582871844,184.62847310637198,228.6536176086411,235.49842277560953,203.82535159016584,232.6973889435051,226.447728200234,170.5117307122043,158.488632489408,239.03495195083931,240.4356095555183,213.36405113160117,202.92673563785772,193.87541376352712,171.71446312862918,244.9547121858807,230.5269383143254,197.273074441689,262.53803286234483,185.12259950674962,207.16014229978782,189.6012983872615,243.58077833075
274640,112.11605154715971,78.3008649512733,92.9978890378377,111.5988433952693,68.43107630101963,94.4339582644218,73.09643834631288,104.83714612862671,111.45061030759621,104.64749822018258,87.46019037974385,83.65859572083104,101.48306092880578,101.8701049769516,41.63893126687435,54.46447638730864,110.1234826672508,99.61226048089316,63.60731436076526,84.8252911127056,84.39194349265745,110.69688352306619,65.18958333804926,76.26652874480624,103.08231947549709,106.4588584904595,69.59042321219795,71.56995840077684,94.78209680216423,89.65002782624356
500000,31.74163309496521,27.29732257794194,25.08504591607993,24.681816213955933,20.36558770713236,26.36303934509419,32.474939470861045,29.940643333477283,34.80021868488666,31.31345195460449,26.765379664467897,23.05487235271244,29.513939323356908,30.018233491711502,14.36953629197319,29.05405256935069,21.564226085454717,26.550062558529593,22.10577685669364,28.08918671959168,30.121662914640414,22.562896052987533,29.48959683502562,26.84309498874609,30.321395021489483,31.02143187302227,17.71575154267339,22.85847354584303,18.25825225992912,27.04393062552526
910282,5.566223855877753,6.049577217187562,5.733411350423238,5.035038900826522,5.282990664757109,6.283719481222987,7.036322323885088,4.290141675800214,5.626584407804331,4.115996376622888,5.919763794564687,6.217547345328968,4.532476772762038,5.794793445818414,5.509561855127913,6.209086745595641,5.528430003039148,6.7745512594149195,5.942052079105223,4.5584507283238045,5.280202094616243,5.314321871545417,5.8386164211135565,5.744593735987793,6.084516403077259,6.1843143119397155,5.26224083732609,5.748926575296309,4.458955471409354,5.697160055260838
1657227,2.2372130610622207,2.061008903747506,2.107066643453436,1.602661956211932,1.709201761849044,1.343937549051816,2.1413221772479565,2.2215678324123465,2.2208522403911957,2.1648256065761866,2.13921107684223,1.859238574048049,1.602419098782548,2.389199833301518,1.940103169272106,2.0992366369973747,2.246796047106045,2.288248032916499,2.251298449926026,2.197302570589272,1.3402290181327319,2.0380776392491953,2.2535736459226428,2.273138027204141,2.286652357398225,2.131721968698912,2.001679586706814,2.2011151907499884,2.1676220857464163,2.237275705751017
3017088,0.5818327937304275,0.5454625300105818,0.4998613549432775,0.7123063344608909,0.6638691813909645,0.6999494463145766,0.8492092053118085,0.5345939700132476,0.5994099771389756,0.769255313259464,0.5374828641549811,0.6893865288461711,0.7296050654183546,0.5184429384380564,0.6300622943012968,0.7074370037680637,0.5657309857701875,0.6604472575620548,0.7045139200222366,0.7313948089447422,0.4062576278724919,0.5666690047542033,0.6010706536103498,0.7267080501021609,0.7287342491188156,0.7148326071132942,0.6828229612342511,0.7861700104613192,0.695867791534738,0.6022738467715953
5492802,0.3189719274803338,0.3838606495405656,0.3889114756425442,0.3424041621626657,0.3024393096802669,0.3173444211765855,0.3768504138643038,0.3770650377848597,0.4015878176455772,0.3963611375306755,0.4087193686839328,0.4172145453360372,0.4090419282720177,0.3439296376757284,0.2943605858656611,0.3408014521294263,0.4187719937565362,0.3917998681054087,0.4020402428207035,0.3458037383766168,0.3413516137388797,0.3816875412962872,0.3786949748837287,0.3169515904846776,0.3738057593639041,0.4011688476834934,0.2844564242395791,0.3433063169538855,0.4853280714187349,0.3136152865656641
10000000,0.181423871058314,0.07901998461125004,0.2741451168681124,0.2371094736656687,0.1929804412229714,0.2084525093664524,0.2054905688989948,0.2495690662274228,0.2018609566709983,0.2814763732033043,0.1940540583987058,0.2016543262211599,0.1671166971880211,0.2357907501873342,0.2194947253296959,0.2291996319258942,0.2107903485027691,0.2113252333440414,0.2412453646595623,0.1288694719030445,0.2108426110974051,0.2155975164434949,0.2964207438867561,0.1665732916248999,0.2104215733488672,0.1182266092971531,0.2515490245777983,0.1408853075865864,0.2282128658666807,0.166711082314805
