NFE,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30
1250,7547651.694175397,11671837.24201044,27556532.64602481,13494741.1318069,11078390.27376377,5792965.643001545,7889765.117379882,10457273.58682023,7908324.376131679,10050526.8152157,6418709.7091804175,9974584.52399454,7344501.631791702,14038544.00886024,4918361.177681259,10651612.54069666,17773692.06251124,6372647.85996724,23708935.36433716,14181893.51817372,23243497.79802695,24629610.93292471,13838167.90939703,11527246.47144016,24528166.30552154,10166629.96300294,11013365.52285126,13273481.01182499,18735061.43526429,21018845.974778898
2275,7547651.694175397,8839839.582766095,16391491.94115758,11900184.56592153,11078390.27376377,3825574.573434304,7889765.117379882,6368586.637926517,5330996.877820448,8259035.858624599,6418709.7091804175,9828472.236041715,7344501.631791702,4870955.03368986,4918361.177681259,9860019.537606524,17773692.06251124,6372647.85996724,4574735.46363449,4572392.029906116,11506064.30046879,13924884.96185434,5447203.538700159,5909445.892649319,19871113.43841537,10166629.96300294,5929795.615185417,13273481.01182499,18735061.43526429,5962142.842049656
4143,7547651.694175397,8839839.582766095,6294357.045935162,9944754.973402755,6060066.357381403,3825574.573434304,7889765.117379882,6368586.637926517,5330996.877820448,8259035.858624599,5251172.5311559765,8713321.555034863,7344501.631791702,4870955.03368986,4918361.177681259,9860019.537606524,17066434.1971979,6372647.85996724,2867876.4554184563,4572392.029906116,7876414.763761696,13924884.96185434,5447203.538700159,5909445.892649319,9191897.582973706,4156824.88002787,5929795.615185417,7695391.324385514,11044612.20743862,5962142.842049656
7542,7547651.694175397,5241815.774079371,2252389.6832949333,6259498.083253101,2744133.546116756,3825574.573434304,5755915.991533999,6368586.637926517,5330996.877820448,2222656.123548117,5251172.5311559765,6351500.0516747665,3007669.230225258,4870955.03368986,4918361.177681259,9860019.537606524,13523444.96131962,6372647.85996724,1329852.78045745,4572392.029906116,7876414.763761696,7593179.3829450635,5447203.538700159,4173170.72152594,1588968.830442039,4156824.88002787,5791736.801855281,5603195.931155575,7710207.984777072,1801725.05904486
13732,3674470.2752318364,5241815.774079371,2252389.6832949333,4804716.019047974,1166788.330312167,3825574.573434304,5755915.991533999,2704107.617296433,5203672.617117941,2222656.123548117,5079486.830532549,5431674.558164411,3007669.230225258,2554480.4933946943,1856941.4713466181,7747491.3626300385,3175970.954061959,2987346.960358544,1329852.78045745,1589609.065133675,3991631.6775685013,4373650.879475788,5447203.538700159,4173170.72152594,1588968.830442039,595026.2765692222,4368206.354694666,5131732.204081062,3566282.050732118,1801725.05904486
25000,3577315.0789286513,2771543.5367786707,1537242.185124375,4335115.183962474,1166788.330312167,2458153.270365642,5755915.991533999,2704107.617296433,1528953.337310246,1970378.1231921918,5079486.830532549,2092747.2076820668,3007669.230225258,1048489.921708141,1856941.4713466181,1008037.093129822,3175970.954061959,2987346.960358544,1329852.78045745,1589609.065133675,1323305.421422377,2789994.699016537,2734791.86117874,3163899.383216373,1588968.830442039,595026.2765692222,1342220.8609562109,4067216.1703751287,1840917.688362684,1801725.05904486
45514,863054.3703316401,1071130.615503256,1537242.185124375,1718603.6152387091,1166788.330312167,1534622.9752751219,1568618.401775095,673901.4737657235,1528953.337310246,923081.238198195,1249640.162884843,867809.7823925859,814110.2865038541,494770.0040698455,852182.030337522,1008037.093129822,599470.09126475,393649.9349231661,1197508.516637556,640752.7710100064,471889.0675992682,1445781.5732791158,1757654.3250367718,768974.8002591897,1293447.38521758,595026.2765692222,1342220.8609562109,2201100.102739302,1721855.7916828732,1260653.822259373
82861,248679.0355034169,224196.649838638,283319.6757996142,133528.4420119251,308453.55703552393,384929.5753746101,184703.0905887466,208559.5732825669,229348.48988590922,263744.6805197996,271126.7343930894,170805.345518492,260367.0735880216,149607.39551412972,172356.8645856975,186290.869164958,188403.1657930159,157201.50790486688,237485.5026810482,92372.78867667017,178667.6610130141,227049.4590536645,123927.58446323269,198532.13547529103,233658.9709015816,133479.1674330323,277208.4148355985,204409.5713892599,162230.9728107198,172519.3905850083
150854,3685.365461938592,3385.2465550388456,3193.1317420219875,3126.3879014537392,3547.092869779556,4982.864559658039,3053.3245514923656,3884.324478830727,3435.931282323545,4082.4842421111953,3250.3930112274074,4581.5904444393045,3442.805721877635,3614.89826817052,2856.6138512490725,3631.489951082212,3668.949176165864,3479.3821858828633,4742.2155173255605,4039.1628078405956,3324.7847833406895,4246.924868263467,2763.9565848518077,3350.3563929825104,4367.73353916007,3270.825752578718,3955.091101040327,4243.568725344148,3285.519045415273,4079.4219513372914
274640,490.2609801692524,659.6305532866412,795.2813137423523,507.3080342988857,691.3264263576611,751.8211114232363,696.8854761057727,675.7425205160022,593.4765474362007,852.9507184814374,688.3195181626161,745.46048333011,478.30616887357786,571.4654555059947,593.1024952181898,730.5708541247859,633.3026174277834,693.5313415112233,643.9914307729805,762.0509832518683,678.2047555107124,497.10814412101854,585.2752932048611,533.2739490249904,539.170035836522,390.4584619373837,696.9287538230195,737.1726720986798,680.3563032494931,760.8593450731314
500000,220.9013991012953,295.7290104739643,260.61000103413744,212.7809310873365,275.06684969050497,374.32137110064286,218.92513755469508,235.02746683633683,176.91709776147542,205.3826760996635,206.7839339638617,345.0378515611869,230.38156202508,203.66919136475258,244.5946240732987,208.3457629615084,230.4181882634573,226.1733654848965,284.66498961702536,259.1272617559048,219.7839449806265,178.59896211665318,298.4261289449355,250.10481457118888,247.843399251147,210.5916284891946,280.6180456585153,405.06974510340433,210.54788652830638,362.81507821937697
