NFE,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30
1250,7198791.241558978,3924554.345673886,7124702.027245949,7263431.192061655,5169950.641313616,5444340.554216505,3308078.9939942285,1304874.9706488,1800607.215673749,3219813.088228102,5820531.529150843,3980543.026547474,3553493.694726008,3285114.309913211,457965.8917181193,6984515.973502999,2374389.707626817,10372843.77347129,8764652.244959947,1108677.734831251,2696381.828301719,5537183.427907448,4378209.491238067,2644575.781728232,6725540.766632928,5642732.467386165,4246781.228148652,598327.0238663463,4641180.664013102,4259613.312644118
2275,7198791.241558978,3924554.345673886,3447615.7376443762,4013484.8296610313,3661911.399611632,5444340.554216505,3308078.9939942285,1304874.9706488,1800607.215673749,1655797.3273033542,2975437.4138734234,3950017.341159422,2178240.54130317,2307167.909553554,457965.8917181193,592802.0824620409,2374389.707626817,5197484.804076757,3694619.8474290567,1108677.734831251,2696381.828301719,5227077.664372249,2129286.223840877,2644575.781728232,6725540.766632928,5642732.467386165,3166352.274777991,598327.0238663463,4287933.311395313,3707996.2910280814
4143,4837392.3282076735,3924554.345673886,3447615.7376443762,2599976.074105815,3661911.399611632,2725397.766715931,3308078.9939942285,1304874.9706488,1800607.215673749,1655797.3273033542,2975437.4138734234,477658.6613230801,2178240.54130317,2307167.909553554,457965.8917181193,592802.0824620409,2374389.707626817,2534630.733453012,914866.6971103036,1108677.734831251,2696381.828301719,5227077.664372249,2129286.223840877,2535742.284825775,1387164.23823655,1710815.4504763882,776757.7812625498,598327.0238663463,4287933.311395313,3099276.5991959637
7542,864158.738415434,2137914.201881853,1429722.505381571,1709500.458817258,3661911.399611632,1946445.031785875,3308078.9939942285,1304874.9706488,940656.8869825966,1646995.4660900368,1921270.8691186318,477658.6613230801,2178240.54130317,2093801.1913048981,457965.8917181193,592802.0824620409,1890719.6086735642,1719298.8440431692,914866.6971103036,1108677.734831251,1835003.399622505,2634342.796896019,1623111.426739895,2535742.284825775,1387164.23823655,662223.2214321571,776757.7812625498,598327.0238663463,1854252.901396309,2924795.46325357
13732,864158.738415434,818936.0972137711,1429722.505381571,792529.4021444757,1030135.8063362971,1872741.405546927,1868954.9615325618,407960.21116302244,900306.289331889,702235.0899666928,443083.3341879036,428122.9059308487,1583999.917382735,1221778.3217105109,457965.8917181193,592802.0824620409,1890719.6086735642,851745.1746702516,914866.6971103036,754099.9909928804,1354920.103191206,1173495.555926746,769120.1290252124,1848615.867589385,1387164.23823655,662223.2214321571,372729.05520263186,598327.0238663463,1478943.014085524,2124829.208481304
25000,864158.738415434,818936.0972137711,950176.6796247716,481179.3638627725,504182.24812686536,186134.5958014615,685602.0509700264,407960.21116302244,900306.289331889,702235.0899666928,443083.3341879036,428122.9059308487,433546.19256307674,670907.3657234198,457965.8917181193,592802.0824620409,999355.9601103388,509050.0423188953,356943.90233769204,754099.9909928804,703007.7350738292,563298.8466471732,573981.2931504304,949367.2819312059,832680.0490323526,377704.376251552,372729.05520263186,598327.0238663463,830465.0018605985,859927.735682878
45514,213396.2498981534,137839.3685256585,382310.6333375411,302119.59160108323,339740.635232589,92073.06225748693,161551.7921682093,407960.21116302244,401663.1269639164,201426.4501751855,156169.1130959921,247560.93836169102,90484.59247108252,437627.0044382604,72368.27062048584,500951.5511908532,264721.6405893887,369237.7323324179,356943.90233769204,332587.3400421279,703007.7350738292,363053.799156586,310532.32596007443,277287.51062170987,353469.5913242068,363000.85346625495,372729.05520263186,507960.6238679835,183097.1417360866,248921.2240788263
82861,59104.81228298976,89394.83593081948,45007.881768985535,51561.49007972552,32420.631099146747,48590.365414408036,21193.439288920512,45915.17726918851,80000.07922668011,14858.17246748654,54492.803282713496,42730.95635662904,72345.69166972669,38536.41877166674,69093.36031613516,38475.47855047551,30645.1916589874,24893.509475170766,31478.502536921413,42140.67473696523,20222.64301640385,34371.587175823064,25221.656595756307,43941.04434378477,54738.75728879491,26978.37439975791,43968.75048641312,57316.41661134778,40326.66903142422,70429.80016496584
150854,1779.2858691966048,2283.258057133587,2034.044410327902,1847.834545474632,1903.343808777927,1735.728234571758,1791.7756251648498,2236.038709159344,1910.259221686583,1612.677671088404,1647.8583511721029,2546.305274783352,1844.0435887193241,1957.160708085667,1976.867504622411,2127.210405358571,1712.3485235953501,1989.5776512094822,1942.817862967058,1878.85890060953,1839.055058620372,1809.915440141622,1796.62639806685,2006.78937661708,2179.188013384451,1563.3964219865773,1861.2276663367968,1844.353385307288,2115.303530165225,2010.211465643439
274640,309.4701004583881,312.3748962921418,331.86808998152765,341.14859950778464,211.5947429614821,360.8525468478347,386.57516340801203,214.4389103341123,298.6274023330311,285.162904781484,341.8352631401758,358.7918910458247,399.6887161112641,373.9272554612035,321.38265604354086,369.19916659401497,300.7761606262015,349.6453110268308,272.7208140669595,305.37401463327166,314.71723005920967,378.5044770370373,385.2137700414983,269.17562630614157,371.88502347548274,194.7531208297987,265.13849455384843,310.0242704409661,334.9575890235028,227.83921742223168
500000,142.2373688000098,75.24851008840687,94.95724576538989,100.7719765455063,77.08504377006601,98.831786299575,104.7898495974746,118.6683463826625,93.25489788683308,95.54536835772068,103.5540381711562,70.61769205338078,104.35717630619871,119.42915846791809,180.911866439315,147.02977025273867,125.4381506404357,91.0058434989337,129.926395581369,116.54793372896799,111.96430465535879,98.91891276244314,165.4120018968165,114.8673935613861,102.73548586274,82.54779042776227,115.4300227822127,152.066909397643,77.43271535210123,149.3915089832408
910282,57.922036103028404,35.575393105195424,46.68963847909708,49.98700737792842,16.47511063527327,49.4389190563993,37.53209852312193,55.4787122340099,53.37543103320785,68.81749514936882,43.332232555935214,30.576819255914423,56.577042879715464,52.631885700167,74.02734488585385,44.87387925859048,25.87846441660895,39.0543082336535,35.962985412062615,58.65542331405641,51.09375069861608,52.749189724975174,59.72042196177017,57.33487697231658,34.52078888022606,25.65464389762246,33.54557126045484,64.67348411179819,31.90304870638192,73.54195494484156
