NFE,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30
1000,8086324807.397791,4706046838.450348,5600527559.885472,6695755754.546843,4028761604.376014,2790604929.2830787,10124976418.70478,10571585039.55059,9383515707.527657,3938779686.147153,5754904235.206426,6966717437.994602,5584810658.306658,7992273642.428205,10408573660.32427,6996983013.991295,8626979414.466896,6496366054.15356,7654758607.302948,7225287039.533708,5190963828.727662,3271867406.107574,5233205867.179786,4367704229.115925,6046269814.734065,6918179183.737757,5875973268.490093,3915705211.119308,6702929783.34599,6509548918.443186
1584,1491250191.439681,2789380511.32377,2255865286.369459,2641127279.422746,4028761604.376014,2790604929.2830787,3963919923.298058,3596759444.019311,3809286200.341414,3938779686.147153,4090065886.804974,4128892560.895664,3771169834.88356,5075129695.257748,1729154819.227948,5069278679.850556,2175582919.893893,3956162731.205467,2878652902.456523,3438027656.915524,3127040040.218723,2890316051.324857,5233205867.179786,3084426328.095649,2334155518.912468,3556315567.2358384,5242191969.951018,3915705211.119308,6702929783.34599,4595016428.487234
2511,1491250191.439681,2789380511.32377,1870752804.91523,2056471590.4820101,2319468862.880505,2705659747.254333,1881366867.4020352,2730359704.510077,3150052691.130092,1613476700.432002,1646037642.714591,3077086971.824862,3571618992.81523,2673667118.885932,1729154819.227948,3440342522.702199,2175582919.893893,752518041.8700771,2434547029.908674,2898305921.972304,2994603598.184214,2001150643.3879302,2811563050.432187,2469357868.595076,1665710727.029353,1555656418.077892,2826532008.5978827,3115668459.358014,2496333224.871362,2141267153.2493672
3981,870732664.6672909,1218054265.273422,1269214865.852599,1165698273.250357,1268591085.065959,1071206270.008642,894841004.7419199,1369554843.30865,915671073.5356467,1068064283.485946,1546692818.2013562,1380239429.663489,1571749213.708987,1763407913.2452898,1113617176.6569118,1199139370.236607,735041372.7453747,752518041.8700771,920594667.3249019,1217862490.870033,1379245899.157501,1288875579.349154,827901272.9165006,1182077615.034385,1250569127.2805882,1533357706.983906,1362238433.126673,1103853565.2038062,1045576361.725987,988781307.9101727
6309,612622865.6723077,319375729.1569048,715466917.6175301,941330315.8764727,383806168.3372508,605323493.5673597,697671300.9756888,801657164.4808246,655939505.6047052,639239564.5467372,745846280.1368897,421686386.84681815,539844438.7118237,860005496.14739,698862424.5505409,517092384.8597888,418692662.6084725,624883385.7131572,555389463.9947748,557481597.1681749,660116540.217597,415680690.9181319,670124689.9157399,557874053.4859637,815319233.2085366,735494616.3850051,555763339.2242117,701891408.5550318,596371462.2961534,218739762.9581356
10000,182963403.8028576,196741906.97700602,285791569.66864645,170336113.24118719,214477849.8657324,244567596.931175,202157665.5318078,199834295.63261598,285682507.70914197,155682521.2380015,340857545.40869045,159420878.7200169,196572355.8275518,283932392.95944786,271905216.13077986,334111782.30287164,246452984.26057416,186319674.5252469,122098393.72322442,247868647.09257567,202565601.1341436,250361681.58752853,310458736.0790384,176660768.4876264,255438236.19020283,182274644.5935917,302316331.9987732,267962182.0965495,192043894.37422568,185128085.9666357
15848,35803659.0877937,21302947.96073809,27238571.52020992,59545065.93323337,26233720.02412458,36350470.63081349,20017147.30720513,44324305.23350669,44650494.70137612,29578232.089130796,30465388.25445869,27929482.62470551,62389688.09575082,32925237.63193788,29506344.94199466,48166924.42280848,31539925.17021796,62852021.79107877,41293837.28900615,39280309.18762464,33789760.68179604,56446523.00621884,24351538.24634806,45208805.30369103,54772643.21219292,42167161.44347525,44491128.73939296,29981279.85348696,30431897.61680114,36892543.178157896
25118,2213059.185287606,860146.3899558993,2013146.4156510832,1739126.803180655,1781743.216215517,1579704.8489687908,1651393.3193765369,1926324.3077972569,3248175.438661024,2998049.023307266,1890287.5835514741,2055877.0342821341,924603.2225083793,1114871.1384631959,3136290.15431573,2424987.8426449858,1787116.936834774,4478455.77383073,3637821.6117783487,1660086.881532712,1570086.195460792,1753339.3584898568,1450283.573732266,1075483.579139256,2615314.544024456,1372177.205792761,2826790.8024599086,1141250.339373789,802622.6950219716,1087347.43995451
39810,13110.84581246042,8490.264019268263,8935.146167426663,15620.664521860892,11369.449380812872,12782.27332473112,11532.45844940667,16775.55279730126,15263.493563677668,16868.723214294867,8000.0637465650525,12682.85230929701,4908.959665236105,6858.228615780457,15660.04578391512,18052.782583919452,16487.63566806115,21571.68364098504,17798.607324826808,13532.09578198864,12832.425618466928,10646.73164832609,9472.050760446955,3698.6739834898995,12992.092360354909,17186.96778256345,11214.049651285579,10005.381326002009,13258.65834334809,16171.82104404917
63095,2.5192708579934187,4.329624046894423,3.5194602796129866,3.743816838943047,5.63315277479802,4.382660282770998,4.247571530545842,4.435864094147433,6.501682660483695,3.76306416349253,6.181147280722187,4.954118381802871,3.954441770792855,3.4169836923502714,5.301377039126223,2.033460667833268,2.349654024323868,9.907212665318184,2.28337056454059,4.88188222852483,5.999810414513547,1.1949640147445282,1.202657321352191,3.376139750811618,2.94138625384744,4.280680254223157,4.812803570213305,2.436194175768435,5.076770197140647,3.9451699784182916
