NFE,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30
888,799.532223793164,708.8363403410121,729.790144526422,790.1349996302988,779.0291564261082,745.4784402842952,953.6877547597596,785.0289342658842,809.9449403688741,868.9732912634698,766.1308261820395,740.8366354069249,851.6910145484549,903.8237069854857,819.2822297043695,800.446141450489,848.4555355622774,726.1226859504732,793.4358117170709,856.0293702975197,725.2237901095186,760.0208343387864,865.4629192362609,883.09039739559,670.6711624304418,737.3259270131704,832.8466863590667,874.1436086547019,856.6132990786923,700.4509239158018
1527,766.0684186131642,708.8363403410121,725.9133811067496,778.5384141038213,779.0291564261082,745.4784402842952,812.0562415787404,727.1493963016342,809.9449403688741,792.6754266054613,731.1523683295794,740.8366354069249,828.4934418214775,695.4113190238213,737.7968493350081,800.446141450489,682.2350513633055,669.513114416985,717.2289065359656,705.6578930469873,718.6955342949022,690.2957572691116,781.2314772603113,862.7981552848372,670.6711624304418,737.3259270131704,750.7256885166098,696.7713566460452,754.4026541978419,700.4509239158018
2625,684.0181957538316,708.8363403410121,675.1773126838017,689.0264619775194,731.3030905029309,674.0897612271765,681.6346979544974,691.3837009239522,607.8482150118598,732.0284713030223,658.1822005445179,674.4985429173494,672.0051223788669,660.10111412679,694.1643427815878,652.1759442123689,682.2350513633055,644.9537381596351,633.5362309955062,683.1781971168697,718.6955342949022,678.1373204775628,714.4176391291063,677.7486874319153,596.4632216478623,684.4490170168729,750.7256885166098,656.5893614481148,572.4768428201678,700.4509239158018
4513,592.3380633009483,595.2571692553947,550.4082808991634,632.2584534414597,579.7926161816317,577.8510103871467,572.0454036506371,593.2037755668052,607.8482150118598,599.4537342690228,548.676669988442,577.3141074198787,526.7766827657524,626.8943657091054,589.3831204035641,562.1947147828555,638.5251321586367,570.1017072860514,606.4740159615308,608.1856305158726,618.6414157839043,562.1082777723359,618.6583700728215,584.1253412624283,594.5401931927023,587.9059581611888,624.494499555547,579.5355606713829,572.4768428201678,598.8074998907941
7757,504.016819824345,524.4925298921698,514.3040228572504,517.7649573094503,514.0134465192559,488.63078838567526,516.5570501596949,522.1070677003237,496.2951771809862,491.29291662779315,499.5994522295259,487.25726144289365,496.35610324986015,487.0031086065533,497.7137305351584,512.8392124347629,503.0406862926529,514.6361871554691,509.9328144691622,515.2873493919178,507.3688047139813,513.4800400603144,509.50678889682683,498.09739600658116,505.3647194381147,499.16506854328867,513.3915596623879,490.712828307679,512.756258003632,510.34625450866037
13333,459.1920231582417,474.26087731069987,480.6750642584252,465.5833547068528,472.41954099132005,473.4495150360517,474.06487251366246,480.37167318290716,475.30398614559584,469.8928876812247,469.42025098709024,487.25726144289365,476.8008586331567,471.9042558777569,469.6775808926504,472.434550247784,469.3676995331866,464.78329697084155,474.7105328577973,470.03793649179767,472.4535766864983,459.39665320947097,458.14196413432137,468.9850155132881,471.6525073748157,488.92235494384204,483.9277432124891,475.6915136282655,463.804979498695,480.5766957873034
22916,458.1671427052893,455.65848591412583,451.6830472981505,458.5566137857936,465.2652094221762,450.7800527420713,452.66414810714826,445.2276496343952,451.208754051278,456.45443978093317,468.4850861731602,457.55640280534004,457.85809093454424,456.2481153701833,451.1259656515972,455.2869837411654,451.50438006822645,462.7481644386576,456.916793063373,457.67455631881376,453.1636196320492,459.39665320947097,437.1877787736175,451.9693136437427,458.5695363749182,458.6887025691658,447.22636906563497,448.4302680436685,444.8206753280442,458.08112926818563
39389,435.3034755931267,448.825430952344,449.0755920625807,450.4038511713075,443.5106920994485,450.7800527420713,449.5141009025256,445.2276496343952,451.208754051278,446.5822658578386,432.5954500635462,438.21724631706365,452.1891182188774,445.0133576056419,437.7787112128308,452.9599592397531,451.2182791492905,450.50416156038864,447.5660372902958,456.9154035566398,439.723526974487,446.58234115063937,437.1877787736175,450.54271002909627,437.1154521425869,440.1356492155815,440.553561665296,448.4302680436685,444.8206753280442,432.9418245485422
67700,435.3034755931267,436.188813436559,434.97124890618306,442.38073105053536,437.8980594955206,437.96732961666663,440.08211757693647,441.052275601704,428.8161023904304,442.3172709053879,432.5954500635462,438.21724631706365,439.77686100916617,430.13744737832434,437.7787112128308,439.4316282612172,436.405486228311,443.5699017326501,433.01055588438834,432.43717486169953,428.4950337625933,436.0743682069201,437.1877787736175,439.14626210952974,429.22263279751917,435.85314967976916,427.4238832341243,438.83270066497704,436.9547129410385,429.8971175460106
116362,419.31831008893784,420.8877174385907,421.53292478540465,417.8243589382805,411.85314639169565,423.87235681095314,420.1212057572711,419.67748230710913,420.38690643435064,424.6661576541583,421.5756326989294,421.16833172950373,426.55299467438414,424.05682743263196,422.3518501652528,415.69940991037043,428.71783112115645,425.06123243704866,421.4809852065946,423.6335414167256,421.41561305317185,421.24565269775803,423.720816184461,426.63530926507286,428.4148552876004,413.7095462459724,420.9120592357863,422.02456920473196,417.5375653981197,423.692910563012
