NFE,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30
1250,4278.369223845341,2535.248172560857,3083.72666735814,3454.4087097904744,4535.589648163346,3119.10445028665,4424.314491602687,2135.505285788578,4264.510814644931,3239.4125235748634,3546.0210969725176,3886.885933575359,2754.2309354196996,3475.8140311872276,3837.67195401814,3719.533773293399,3501.9081903948854,3729.280945744883,3885.010730651449,3355.284896343664,1891.037620070445,4472.2001056973495,3378.6395201889427,3299.558619686683,3624.038044812467,3524.310203151656,4181.409648408478,3482.662834785391,1889.4952809276708,3795.673066613265
2275,2471.084872173739,1735.942423161421,3083.72666735814,2374.027416811226,1697.1828623886302,1756.047314324502,3189.7193030518574,2135.505285788578,3196.890296338866,1981.1599076893249,2888.3734528994923,3660.39770942118,2754.2309354196996,2431.45110971966,3048.123733087272,1783.79162632665,2512.4001892903048,3729.280945744883,2826.0538270829657,2092.137198236667,1891.037620070445,1723.428758192611,2660.625757430786,3012.3981661800613,1188.467774180235,2663.528098061267,3140.4217970659943,3482.662834785391,1889.4952809276708,3539.273098205914
4143,2289.877175518714,1735.942423161421,2044.0562845057918,2374.027416811226,1697.1828623886302,1756.047314324502,2467.217616370727,2135.505285788578,2101.892998938036,1981.1599076893249,2467.8116337560227,2111.627958493445,2250.923256050581,2333.6268971550103,2154.552055777127,1783.79162632665,1762.403460732393,1920.081445291245,2379.93869896588,1569.3762143030801,1891.037620070445,1723.428758192611,2660.625757430786,2442.540581408241,1188.467774180235,2663.528098061267,2074.181815898908,2613.1207228754192,1889.4952809276708,3061.7304111138424
7542,1722.4492045840539,1404.151598974667,1793.5431833247478,1571.64924504166,1473.6182901727302,1756.047314324502,1530.660484614154,1235.121375754537,1288.365355307921,1734.328202131324,1767.041386250095,1924.245146410181,1431.0327206145112,1461.2803430958359,1206.675992981837,1245.1422105770441,1476.660188041193,1616.0234508582441,1624.601263734704,1202.312816652237,1352.095691616948,1298.620330959073,1762.22413878478,1310.7201611541561,1188.467774180235,1720.043374319453,1469.1944206649648,1673.356831332067,1085.099861228815,1422.95704186627
13732,1025.318470311037,1197.454203356851,757.2846929693378,975.16736208751,1062.2114090665,837.3746018003421,923.7652369629022,1000.853958765582,873.899400328014,1138.576963294809,1016.486310848813,1028.792263414516,1076.632725922293,1162.214407119649,1025.839282431841,903.1861371133164,667.5911467585343,1219.134741828012,1049.526999127658,1078.031482100243,1212.111947053011,1078.586382364977,1004.4418392236031,1064.400623700846,1024.995179688915,1027.980089766384,961.8423060486876,1034.697082783186,787.9625149611987,1025.118820028081
25000,661.6848301994022,749.8334827567343,742.3309147325191,655.538513499971,762.3036963636197,695.633579795674,642.4860053447827,626.6909968027185,726.3826718816449,682.3879497387761,751.1507636865953,755.0413785385948,675.1927115154726,683.4526216420783,727.581433829775,675.0987430360873,614.0014916268327,739.0033752697864,651.3065582561247,586.0901449527805,829.3986678668152,736.8363524419188,638.0372943948449,765.160580902927,657.6018289156697,753.7750852414327,658.9570372198533,794.0907292233555,726.4827270407421,778.4943642748648
45514,539.2475308734265,556.3390298054087,518.9364205846597,521.054222304052,489.7117306134787,528.6375535818241,566.6461740287733,524.6754589964366,552.3560801436988,541.6386305198366,525.4212152150017,518.3809823832044,559.8957434593126,506.4158980927787,526.1918793171635,537.3448860021654,525.6410157795945,516.3114921537094,518.0911327129352,516.6805213203675,534.8626338451168,489.7723129002907,553.1372342566169,534.3720110849458,556.6663866738681,528.5249852888957,534.5288381036103,517.0570874632131,494.90930360706767,537.8579432987813
82861,426.1096358520481,422.9081838224897,424.22057378524323,426.98593185152413,424.52104498876366,424.02491448258303,424.9763976744171,424.05062762813264,424.0104946038546,424.3274629137632,427.6292946880703,425.30121495645284,425.413252881091,426.3396013719553,425.4265835460665,426.69923766791356,423.3373869785673,421.05529522002337,428.725221067185,422.5734391215792,422.5099321631942,424.4885603222606,427.6796440902663,425.48507448349665,425.99771632328833,422.78061569404014,425.25641960939043,426.64243423778504,424.5544549455517,426.86157428088967
150854,414.0830743013321,414.0940758015663,414.10083989637496,414.09972353635163,414.0493145863475,414.0886516272582,414.1079561137085,414.0662824955157,414.09689544074763,414.1173483303473,414.1219482656356,414.0843590094078,414.0501892663906,414.09274439909217,414.10077566328715,414.0565612835389,414.03232964963814,414.1300221091651,414.10627833145014,414.086198624087,414.07917656085465,414.09439072998975,414.0870879565555,414.07303479203796,414.1200720401384,414.1137004930333,414.09193788800485,414.0541882857315,414.05029034357904,414.0352967605063
274640,413.65894873487883,413.65766146717664,413.6584050241763,413.6589745164792,413.6589601289352,413.65741751929085,413.65863591194284,413.6587426332212,413.6580966886158,413.6575221556354,413.65824415274886,413.66624731706537,413.6575948880436,413.6575268405445,413.65902728500487,413.6575094594773,413.65874525758034,413.6586879401239,413.65786819593814,413.6576403920794,413.6581836158075,413.6598516578906,413.66062051603376,413.6596020356378,413.6583240966406,413.6597489414198,413.66182477916567,413.65765200451636,413.6574773740167,413.6579150151911
